Unitats;UTM (X);Explotador/s;Denominació comercial;Superfície;Signatura;Inici d'activitat;Localitat;Municipi;Subgrup;Excepcions ratio turístic;Memoria descriptiva;Categoria;Hotel de ciutat;Places;Grup;Estat;UTM(Y);Direcció;longitude;latitude
186;;INVERSIONES LLAUT SL (B57335507);LLAUT PALACE HOTEL & SPA;;H/2955;29/09/2017;Platja De Palma;PALMA;Allotjaments;;;5 estrelles;;372;Hotel;Alta;;Avinguda AMÉRICA, 2. 07600 Platja De Palma, PALMA, Mallorca;;
8;;WORTHINGTON NICHOLL LTD SUCURSAL ESPAÑA (W0065728H);HOTEL CAN MOSTATXINS;;H/2957;29/09/2017;Alcúdia;ALCÚDIA;Allotjaments;;;4 estrelles;Sí;16;Hotel;Alta;;LLEDONER, 15. 07400 ALCÚDIA, Mallorca;;
17;536639.913567;HOSTAL GILI SL (B07661044);ZHIMBAD B&B BY THE SEA;;H/296;21/06/1961;Cala Rajada;CAPDEPERA;Allotjaments;;;1 estrella;;32;Hostal;Alta;4394218.80233;Avinguda ARQUITECTE ALOMAR, 2. 07590 Cala Rajada, CAPDEPERA, Mallorca;3.4273579135649506;39.69703116581444
21;;INVERSIONES PLOMER SL (B07985823);CAN RIBERA;;H/2963;29/09/2017;Muro;MURO;Allotjaments;;;4 estrelles;Sí;42;Hotel;Alta;;COMTAT, 1. 07440 MURO, Mallorca;;
18;;Summum Hotel Group, S.A. (A07221419);SUMMUM PRIME BOUTIQUE HOTEL;;H/2966;30/11/2017;Palma;PALMA;Allotjaments;;;5 estrelles;Sí;36;Hotel;Alta;;CONCEPCION, 26. 07012 PALMA, Mallorca;;
14;;CABAU HOTELS S.L (B57925323);HOTEL GLORIA DE SANT JAUME;;H/2967;18/01/2018;Palma;PALMA;Allotjaments;;;5 estrelles;Sí;28;Hotel;Alta;;Carrer SANT JAUME, 18. 07012 PALMA, Mallorca;;
68;;CA´S MIOT SL (B07790512);ES PRINCEP HOTEL;0;H/2968;02/02/2018;Palma;PALMA;Allotjaments;;;5 estrelles;Sí;136;Hotel;Alta;;Carrer BALA ROJA, 1-5. 07001 PALMA, Mallorca;;
171;;IBEROSTAR MANAGEMENT SA (A07816481);IBEROSTAR CALA MILLOR;;H/2969;27/02/2018;Cala Millor;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;4 estrelles Superior;;326;Hotel;Alta;;Carrer Castell, 5. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;;
30;539416.41952;MARIA LLULL ROSSELLO;CALA RATJADA;;H/297;12/06/1952;Cala Rajada;CAPDEPERA;Allotjaments;;;1 estrella;;53;Hostal residència;Alta;4395829.55427;LLEVAMANS, 2. 07590 Cala Rajada, CAPDEPERA, Mallorca;3.459837694366632;39.71142029804171
32;;HOTEL CAPPUCCINO, S.L. (B57992174);HOTEL CAPPUCCINO;;H/2970;23/02/2018;Palma;PALMA;Allotjaments;;;5 estrelles;Sí;64;Hotel;Alta;;Plaça DE CORT, CANTONADA C/ COLOM I PLAÇA PESCATERIA, S/N. 07001 PALMA, Mallorca;;
